idCinema;nom;adresse;nbSalles;nbFauteuils
10;GEORGE V;146 AVENUE DES CHAMPS ELYSEES;11;1666
11;UGC NORMANDIE;116 AVENUE DES CHAMPS ELYSEES;4;1610
12;BALZAC;1 RUE BALZAC;3;590
13;GAUMONT CHAMPS ELYSEES MARIGNAN;27/33 AVENUE DES CHAMPS ELYSEES;6;1701
14;ELYSEES LINCOLN;14 RUE LINCOLN;3;448
15;GAUMONT OPERA  FRANCAIS;38 BD DES ITALIENS;5;994
16;UGC OPERA;32 BD DES ITALIENS;4;760
17;GAUMONT OPERA CAPUCINES;2/4 BOULEVARD DES CAPUCINES;7;2169
18;MAX LINDER;24 BD POISSONNIERE;1;591
19;GRAND REX;5 BD POISSONNIERE;7;4274
20;GAUMONT OPERA PREMIER;32 RUE LOUIS LEGRAND;6;1138
21;UGC MONTPARNASSE;83 BD DU MONTPARNASSE;7;1592
22;GAUMONT PARNASSE;3 RUE D'ODESSA;15;2876
23;ENTREPOT;7 ET 9 RUE FRANCIS DE PRESSENSE;3;250
24;MK2 BEAUBOURG;50 RUE RAMBUTEAU;6;557
25;UGC MAILLOT;PALAIS CONGRES PL PORTE MAILLOT;4;764
26;MK2 HAUTEFEUILLE;7 RUE HAUTEFEUILLE;4;690
27;MK2 ODEON;113 BD ST GERMAIN;5;815
28;STUDIO GALANDE;42 RUE GALANDE;1;97
29;LUXEMBOURG;67 69 RUE MONSIEUR LE PRINCE;3;334
30;ST ANDRE DES ARTS;30 RUE ST ANDRE DES ARTS;3;510
31;MK2 PARNASSE;11 RUE JULES CHAPLAIN;3;284
32;UGC ROTONDE;103 BD DU MONTPARNASSE;3;454
33;BRETAGNE;73 BD DU MONTPARNASSE;2;1020
34;LUCERNAIRE FORUM;53 RUE NOTRE DAME DES CHAMPS;3;148
35;PARNASSIEN;98 BD DU MONTPARNASSE;7;842
36;CHRISTINE 21;4 RUE CHRISTINE;2;234
37;ST GERMAIN DES PRES;22 RUE GUILLAUME APOLLINAIRE;1;252
38;PUBLICIS ELYSEES;133 AV DES CHAMPS ELYSEES;2;609
39;LE BEVERLEY;14 RUE VILLE NEUVE;1;100
40;L'ARCHIPEL;17 BD DE STRASBOURG;2;204
41;LE BRADY;39 BOULEVARD DE STRASBOURG;2;139
42;UGC CINE CITE LES HALLES;101 RUE BERGER;27;3894
43;LUMINOR HOTEL DE VILLE;20 RUE DU TEMPLE;2;238
44;MAJESTIC PASSY;18 - 20 RUE DE PASSY;3;637
45;MAC MAHON;5/7 AV MAC MAHON;1;137
46;CAUMARTIN 1  EX CINEVOG;101 RUE ST LAZARE;5;501
47;LE CINEMA DES CINEASTES;7 AVENUE DE CLICHY;3;478
48;PATHE WEPLER;132 -140 BOULEVARD DE CLICHY;12;2139
49;STUDIO 28;10 RUE THOLOZE;1;172
50;LA GEODE;26 AV CORENTIN CARIOU;1;400
51;BORIS VIAN GRANDE HALLE;211 AV JEAN JAURES;1;287
52;MK2 QUAI DE SEINE;14 QUAI DE LA SEINE;6;992
53;MK2 GAMBETTA;6 RUE BELGRAND;6;1238
54;MK2 BASTILLE (côté Fg St Antoine);5 RUE DU FAUBOURG ST ANTOINE;3;430
55;MAJESTIC BASTILLE;4 BD RICHARD LENOIR;2;356
56;MK2 BASTILLE;3 BD R LENOIR 4/6 BD BEAUMARCHAI;4;469
57;MK2 NATION;133 BOULEVARD DIDEROT;4;976
58;UGC LYON BASTILLE;12 RUE DE LYON;7;1274
59;UGC CINE CITE BERCY;2 COUR SAINT-EMILION;18;4440
60;CHAPLIN SAINT LAMBERT;6 RUE PECLET;3;365
61;GAUMONT CONVENTION;27 RUE ALAIN CHARTIER;9;1263
62;GAUMONT AQUABOULEVARD;8/16 RUE DU COLONEL PIERRE AVIA;14;2583
63;GAUMONT MONTPARNOS;16 18 RUE D ODESSA;4;397
64;GAUMONT ALESIA;73 AVENUE DU GENERAL LECLERC;8;1384
65;CHAPLIN DENFERT;24 PLACE DENFERT ROCHEREAU;1;133
66;L ARLEQUIN PANORAMA;76 RUE DE RENNES;3;595
67;UGC DANTON;99 BD ST GERMAIN;4;684
68;NOUVEL ODEON;6 RUE DE L ECOLE DE MEDECINE;1;119
69;UGC ODEON;124 BD ST GERMAIN;5;722
70;ESPACE SAINT MICHEL;7 PLACE ST MICHEL;2;210
71;LE DESPERADO;23 RUE DES ECOLES;2;200
72;LE CINEMA DU PANTHEON;13 RUE VICTOR COUSIN;1;200
73;ACCATONE;20 RUE CUJAS;1;73
74;LE CHAMPO;51 RUE DES ECOLES;2;236
75;QUARTIER LATIN I;9 RUE CHAMPOLLION;2;164
76;STUDIO DES URSULINES;10 RUE DES URSULINES;1;122
77;REFLET MEDICIS 2;7 RUE CHAMPOLLION;3;372
78;EPEE DE BOIS;100 RUE MOUFFETARD;2;140
79;LA CLEF;21 RUE CLEF 34 RUE DAUBENTON;2;188
80;LE GRAND ACTION;5 RUE DES ECOLES;2;346
81;LES FAUVETTES;58 AVENUE DES GOBELINS;5;645
82;UGC  GOBELINS;66 BIS AV DES GOBELINS;7;1148
83;ESCURIAL;11 BD PORT ROYAL;2;329
84;MK2 GRAND PALAIS;COURS LA REINE PORTE C;1;92
85;LE LOUXOR;170 BOULEVARD DE MAGENTA;3;556
86;MK2 BIBLIOTHEQUE;128 A 162 AVENUE DE FRANCE;16;2981
87;MK2 A&E;15/43 QUAI FRANCOIS MAURIAC;4;520
88;PATHE BEAUGRENELLE;7 RUE LINOIS;10;1962
89;CLUB DE L ETOILE;14 RUE TROYON;1;161
90;MK2 QUAI DE LOIRE;5/19 QUAI DE LA LOIRE;6;1108
91;UGC CINE CITE PARIS 19;166 BOULEVARD MAC DONALD;14;2790
92;PATHE;30 AVENUE CORENTIN CARIOU;15;2828
93;ETOILE LILAS;PLACE DU MAQUIS DU VERCORS;7;1480
94;PANDORA;6 ALLEE SIMONE SIGNORET;3;257
95;LE POLE CULTUREL;82 RUE MARCEL BOURDARIAS;1;410
96;LE SELECT;10 AV DIVISION LECLERC;4;665
97;JEAN VILAR;1 RUE PAUL SIGNAC;2;328
98;MEGARAMA;8 AVENUE SALVADOR ALLENDE;6;781
